mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
56.34821160634359,3.175284847902033,0.13037745157877603,0.010712575663919859,0.1,2,2,2,100,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7782664166754122,0.786301535885952,0.7886711018010222,0.7844130181207954,0.004452657831958818,12
84.16812086105347,4.631986933933754,0.18471145629882812,0.02549221920101738,0.1,2,2,2,150,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.7829363103639047,0.789472363221071,0.7905795387414742,0.78766273744215,0.003372515787234889,2
57.84856200218201,3.604166658751462,0.13449223836263022,0.01425410972157425,0.1,2,2,5,100,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7782664166754122,0.78625928685804,0.7886711018010222,0.7843989351114914,0.004446725357416562,13
83.53278048833211,2.904064336458183,0.17941943804423013,0.00548358619140092,0.1,2,2,5,150,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 150}",0.7829363103639047,0.7880249260939769,0.7905795387414742,0.7871802583997853,0.003176983122726079,4
82.9624973932902,2.778065257224459,0.18101088205973306,0.008840792464418016,0.1,3,1,2,100,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.7754711326105704,0.7862518802105611,0.7850023760498278,0.7822417962903198,0.004814681032019347,24
125.531010389328,6.914096949697436,0.2533026536305745,0.014459676404336626,0.1,3,1,2,150,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.7740407583888276,0.7818657006208153,0.7811926453640516,0.7790330347912316,0.003540750259776742,27
80.76451810201009,3.1350156910365308,0.20845778783162436,0.03635077099152241,0.1,3,1,5,100,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7758222233793937,0.7861635046251656,0.7858649508408533,0.7826168929484708,0.004806102683411267,21
117.76852536201477,4.247894195703502,0.3034667174021403,0.0604601397040761,0.1,3,1,5,150,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 150}",0.7756580559985672,0.7815717513846233,0.7797159576836585,0.7789819216889496,0.002469420297817762,28
81.2188588778178,4.854970988342285,0.19385083516438803,0.04478740189979309,0.1,3,2,2,100,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7786644439513022,0.78535618146398,0.7868346056613917,0.7836184103588913,0.0035546000152398066,18
129.0379007657369,7.546503104748243,0.26949620246887207,0.03613939287834797,0.1,3,2,2,150,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 150}",0.7745845116062636,0.7809922905034554,0.7825541183883847,0.7793769734993679,0.0034482454314407824,25
